"sample_id","transcriptome_diversity","group"
"GTEX-X4EP-2926-SM-3P5YQ",0.806429803043901,"arora_gtex_mskcc_breast"
"GTEX-XMD2-0926-SM-4WWEF",0.786231007541751,"arora_gtex_mskcc_breast"
"GTEX-XUJ4-1926-SM-4BOOV",0.794999715617208,"arora_gtex_mskcc_breast"
"GTEX-XUW1-2326-SM-4BOO5",0.814928428786947,"arora_gtex_mskcc_breast"
"GTEX-XUZC-1626-SM-4BRVP",0.818595322231588,"arora_gtex_mskcc_breast"
"GTEX-XV7Q-2326-SM-4BRVZ",0.807616920509026,"arora_gtex_mskcc_breast"
"GTEX-Y114-2026-SM-4TT7L",0.805277614977627,"arora_gtex_mskcc_breast"
"GTEX-Y3IK-2326-SM-4WWDT",0.807696871386725,"arora_gtex_mskcc_breast"
"GTEX-Y5LM-1726-SM-4VDSX",0.784793922609709,"arora_gtex_mskcc_breast"
"GTEX-Y5V5-2126-SM-4WWFO",0.807191322887294,"arora_gtex_mskcc_breast"
"GTEX-Y8LW-1626-SM-5IFHX",0.807476698822234,"arora_gtex_mskcc_breast"
"GTEX-YB5K-1626-SM-5IFIN",0.801948768872781,"arora_gtex_mskcc_breast"
"GTEX-YFC4-1426-SM-5IFJG",0.82034004005198,"arora_gtex_mskcc_breast"
"GTEX-YJ8O-2226-SM-5IFHW",0.822846691612946,"arora_gtex_mskcc_breast"
"GTEX-ZAJG-0626-SM-5HL8X",0.774960480210685,"arora_gtex_mskcc_breast"
"GTEX-ZC5H-2626-SM-5J2MG",0.798317834430872,"arora_gtex_mskcc_breast"
"GTEX-ZF29-1926-SM-5S2P1",0.820565176459869,"arora_gtex_mskcc_breast"
"GTEX-ZF2S-2026-SM-5E461",0.827588178926955,"arora_gtex_mskcc_breast"
"GTEX-ZF3C-2326-SM-5S2MZ",0.810861732660689,"arora_gtex_mskcc_breast"
"GTEX-ZLV1-1426-SM-4WWES",0.806787698217488,"arora_gtex_mskcc_breast"
"GTEX-ZPIC-1126-SM-5BC7F",0.79952943780848,"arora_gtex_mskcc_breast"
"GTEX-ZQG8-0726-SM-5P9H9",0.791041177765537,"arora_gtex_mskcc_breast"
"GTEX-ZV6S-1826-SM-5NQ8D",0.80054467783142,"arora_gtex_mskcc_breast"
"GTEX-ZVT2-1826-SM-5NQ8W",0.744352806463299,"arora_gtex_mskcc_breast"
"GTEX-ZVT4-1026-SM-57WC4",0.798464566081403,"arora_gtex_mskcc_breast"
"GTEX-ZVZQ-0826-SM-51MRF",0.804655478065984,"arora_gtex_mskcc_breast"
"GTEX-ZXES-0826-SM-5E43C",0.800653955833001,"arora_gtex_mskcc_breast"
"GTEX-ZYWO-2326-SM-5GZY4",0.785146275270242,"arora_gtex_mskcc_breast"
"GTEX-S32W-1526-SM-4AD6Z",0.792781061224785,"arora_gtex_mskcc_cervix"
"GTEX-S341-1126-SM-4AD6T",0.804604691582575,"arora_gtex_mskcc_cervix"
"GTEX-S4UY-1426-SM-4AD6Y",0.80998732819335,"arora_gtex_mskcc_cervix"
"GTEX-TSE9-2826-SM-4DXTF",0.761034617937985,"arora_gtex_mskcc_cervix"
"GTEX-S32W-1626-SM-4AD6G",0.796957142314864,"arora_gtex_mskcc_cervix"
"GTEX-S341-1326-SM-4AD72",0.820214750058645,"arora_gtex_mskcc_cervix"
"GTEX-T6MO-1426-SM-4DM73",0.809630412123873,"arora_gtex_mskcc_cervix"
"GTEX-TSE9-2726-SM-4DXSQ",0.773858143804542,"arora_gtex_mskcc_cervix"
"GTEX-111CU-1226-SM-5EGIN",0.796858950234469,"arora_gtex_mskcc_colon"
"GTEX-111YS-1826-SM-5GIEP",0.795546665743764,"arora_gtex_mskcc_colon"
